question,answer,category,difficulty,mode,question_type,choice_a,choice_b,choice_c,choice_d
"$$\begin{aligned}& k x-3 y=4 \\& 4 x-5 y=7\end{aligned}$$In the system of equations above, $k$ is a constant and $x$ and $y$ are variables. For what value of $k$ will the system of equations have no solution?",A,Math,medium,sat,multiple_choice,$\frac{12}{5}$,$\frac{16}{7}$,$-\frac{16}{7}$,$-\frac{12}{5}$
"In the $x y$-plane, the parabola with equation $y=(x-11)^{2}$ intersects the line with equation $y=25$ at two points, $A$ and $B$. What is the length of $\overline{A B}$ ?",A,Math,medium,sat,multiple_choice,10,12,14,16
"$$y=a(x-2)(x+4)$$In the quadratic equation above, $a$ is a nonzero constant. The graph of the equation in the $x y$-plane is a parabola with vertex $(c, d)$. Which of the following is equal to $d$ ?",A,Math,medium,sat,multiple_choice,$-9 a$,$-8 a$,$-5 a$,$-2 a$
"The equation $\frac{24 x^{2}+25 x-47}{a x-2}=-8 x-3-\frac{53}{a x-2}$ is true for all values of $x \neq \frac{2}{a}$, where $a$ is a constant.What is the value of $a$ ?",B,Math,medium,sat,multiple_choice,-16,-3,3,16
What are the solutions to $3 x^{2}+12 x+6=0 ?$,A,Math,medium,sat,multiple_choice,$x=-2 \pm \sqrt{2}$,$x=-2 \pm \frac{\sqrt{30}}{3}$,$x=-6 \pm \sqrt{2}$,$x=-6 \pm 6 \sqrt{2}$
"$$C=\frac{5}{9}(F-32)$$The equation above shows how a temperature $F$, measured in degrees Fahrenheit, relates to a temperature $C$, measured in degrees Celsius. Based on the equation, which of the following must be true?I. A temperature increase of 1 degree Fahrenheit is equivalent to a temperature increase of $\frac{5}{9}$ degree Celsius.II. A temperature increase of 1 degree Celsius is equivalent to a temperature increase of 1.8 degrees Fahrenheit.III. A temperature increase of $\frac{5}{9}$ degree Fahrenheit is equivalent to a temperature increase of 1 degree Celsius.",D,Math,medium,sat,multiple_choice,I only,II only,III only,I and II only
"\begin{center}\begin{tabular}{|l||c|c||c|}\cline { 2 - 4 }\multicolumn{1}{c||}{} & \multicolumn{2}{c||}{Age} & \multirow{2}{c|}{Total} \\\hlineGender & Under 40 & 40 or older \\\hline\hlineMale & 12 & 2 & 14 \\\hlineFemale & 8 & 3 & 11 \\\hline\hlineTotal & 20 & 5 & 25 \\\hline\end{tabular}\end{center}The table above shows the distribution of age and gender for 25 people who entered a contest. If the contest winner will be selected at random, what is the probability that the winner will be either a female under age 40 or a male age 40 or older?",B,Math,medium,sat,multiple_choice,$\frac{4}{25}$,$\frac{10}{25}$,$\frac{11}{25}$,$\frac{16}{25}$
\begin{center}\begin{tabular}{|c||c|c|c|c|}\hline$n$ & 1 & 2 & 3 & 4 \\\hline$f(n)$ & -2 & 1 & 4 & 7 \\\hline\end{tabular}\end{center}The table above shows some values of the linear function $f$. Which of the following defines $f$ ?,C,Math,medium,sat,multiple_choice,$f(n)=n-3$,$f(n)=2 n-4$,$f(n)=3 n-5$,$f(n)=4 n-6$
"At Lincoln High School, approximately 7 percent of enrolled juniors and 5 percent of enrolled seniors were inducted into the National Honor Society last year. If there were 562 juniors and 602 seniors enrolled at Lincoln High School last year, which of the following is closest to the total number of juniors and seniors at Lincoln High School last year who were inducted into the National Honor Society?",B,Math,medium,sat,multiple_choice,140,69,39,30
$$\begin{aligned}& 3 x^{2}-5 x+2 \\& 5 x^{2}-2 x-6\end{aligned}$$Which of the following is the sum of the two polynomials shown above?,A,Math,medium,sat,multiple_choice,$8 x^{2}-7 x-4$,$8 x^{2}+7 x-4$,$8 x^{4}-7 x^{2}-4$,$8 x^{4}+7 x^{2}-4$
"If $\frac{3}{5} w=\frac{4}{3}$, what is the value of $w ?$",D,Math,medium,sat,multiple_choice,$\frac{9}{20}$,$\frac{4}{5}$,$\frac{5}{4}$,$\frac{20}{9}$
"The average number of students per classroom at Central High School from 2000 to 2010 can be modeled by the equation $y=0.56 x+27.2$, where $x$ represents the number of years since 2000 , and $y$ represents the average number of students per classroom. Which of the following best describes the meaning of the number 0.56 in the equation?",C,Math,medium,sat,multiple_choice,The total number of students at the school in 2000,The average number of students per classroom in 2000,The estimated increase in the average number of students per classroom each year,The estimated difference between the average number of students per classroom in 2010 and in 2000
"Nate walks 25 meters in 13.7 seconds. If he walks at this same rate, which of the following is closest to the distance he will walk in 4 minutes?",B,Math,medium,sat,multiple_choice,150 meters,450 meters,700 meters,"1,400 meters"
"What is the weight, in newtons, of an object on Mercury with a mass of 90 kilograms?",D,Math,medium,sat,multiple_choice,25,86,101,324
An object on Earth has a weight of 150 newtons. On which planet would the same object have an approximate weight of 170 newtons?,B,Math,medium,sat,multiple_choice,Venus,Saturn,Uranus,Neptune
"$$h=-16 t^{2}+v t+k$$The equation above gives the height $h$, in feet, of a ball $t$ seconds after it is thrown straight up with an initial speed of $v$ feet per second from a height of $k$ feet. Which of the following gives $v$ in terms of $h, t$, and $k$ ?",D,Math,medium,sat,multiple_choice,$v=h+k-16 t$,$v=\frac{h-k+16}{t}$,$v=\frac{h+k}{t}-16 t$,$v=\frac{h-k}{t}+16 t$
"In order to determine if treatment $\mathrm{X}$ is successful in improving eyesight, a research study was conducted. From a large population of people with poor eyesight, 300 participants were selected at random. Half of the participants were randomly assigned to receive treatment $X$, and the other half did not receive treatment $X$. The resulting data showed that participants who received treatment $X$ had significantly improved eyesight as compared to those who did not receive treatment $X$. Based on the design and results of the study, which of the following is an appropriate conclusion?",A,Math,medium,sat,multiple_choice,Treatment $\mathrm{X}$ is likely to improve the eyesight of people who have poor eyesight.,Treatment $\mathrm{X}$ improves eyesight better than all other available treatments.,Treatment $X$ will improve the eyesight of anyone who takes it.,Treatment $\mathrm{X}$ will cause a substantial improvement in eyesight.
How will the quantity of the product supplied to the market change if the price of the product is increased by $\$ 10$ ?,B,Math,medium,sat,multiple_choice,The quantity supplied will decrease by 5 units.,The quantity supplied will increase by 5 units.,The quantity supplied will increase by 10 units.,The quantity supplied will increase by 50 units.
At what price will the quantity of the product supplied to the market equal the quantity of the product demanded by the market?,B,Math,medium,sat,multiple_choice,$\$ 90$,$\$ 120$,$\$ 133$,$\$ 155$
"Graphene, which is used in the manufacture of integrated circuits, is so thin that a sheet weighing one ounce can cover up to 7 football fields. If a football field has an area of approximately $1 \frac{1}{3}$ acres, about how many acres could 48 ounces of graphene cover?",C,Math,medium,sat,multiple_choice,250,350,450,"1,350"
"Of the following four types of savings account plans, which option would yield exponential growth of the money in the account?",C,Math,medium,sat,multiple_choice,"Each successive year, $2 \%$ of the initial savings is added to the value of the account.","Each successive year, $1.5 \%$ of the initial savings and $\$ 100$ is added to the value of the account.","Each successive year, $1 \%$ of the current value is added to the value of the account.","Each successive year, $\$ 100$ is added to the value of the account."
"The sum of three numbers is 855 . One of the numbers, $x$, is $50 \%$ more than the sum of the other two numbers. What is the value of $x$ ?",B,Math,medium,sat,multiple_choice,570,513,214,155
"Mr. Kohl has a beaker containing $n$ milliliters of solution to distribute to the students in his chemistry class. If he gives each student 3 milliliters of solution, he will have 5 milliliters left over. In order to give each student 4 milliliters of solution, he will need an additional 21 milliliters. How many students are in the class?",D,Math,medium,sat,multiple_choice,16,21,23,26
"In the $x y$-plane, the line determined by the points $(2, k)$ and $(k, 32)$ passes through the origin. Which of the following could be the value of $k$ ?",C,Math,medium,sat,multiple_choice,0,4,8,16
"A rectangle was altered by increasing its length by 10 percent and decreasing its width by $p$ percent. If these alterations decreased the area of the rectangle by 12 percent, what is the value of $p$ ?",C,Math,medium,sat,multiple_choice,12,15,20,22
"In planning maintenance for a city's infrastructure, a civil engineer estimates that, starting from the present, the population of the city will decrease by 10 percent every 20 years. If the present population of the city is 50,000, which of the following expressions represents the engineer's estimate of the population of the city $t$ years from now?",D,Math,medium,sat,multiple_choice,"$50,000(0.1)^{20 t}$","$50,000(0.1)^{\frac{t}{20}}$","$50,000(0.9)^{20 t}$","$50,000(0.9)^{\frac{t}{20}}$"
"\begin{center}\begin{tabular}{|l|c|c|}\cline { 2 - 3 }\multicolumn{1}{c|}{} & \multicolumn{2}{c|}{Handedness} \\\hlineGender & Left & Right \\\hline\hlineFemale & & \\\hlineMale & & \\\hline\hlineTotal & 18 & 122 \\\hline\end{tabular}\end{center}The incomplete table above summarizes the number of left-handed students and right-handed students by gender for the eighth-grade students atKeisel Middle School. There are 5 times as many right-handed female students as there are left-handed female students, and there are 9 times as many right-handed male students as there are left-handed male students. If there is a total of 18 left-handed students and 122 right-handed students in the school, which of the following is closest to the probability that a right-handed student selected at random is female? (Note: Assume that none of the eighth-grade students are both right-handed and left-handed.)",A,Math,medium,sat,multiple_choice,0.410,0.357,0.333,0.250
"$$\begin{aligned}& 3 x+b=5 x-7 \\& 3 y+c=5 y-7\end{aligned}$$In the equations above, $b$ and $c$ are constants.If $b$ is $c$ minus $\frac{1}{2}$, which of the following is true?",A,Math,medium,sat,multiple_choice,$x$ is $y$ minus $\frac{1}{4}$.,$x$ is $y$ minus $\frac{1}{2}$.,$x$ is $y$ minus 1 .,$x$ is $y$ plus $\frac{1}{2}$.
What are the solutions of the quadratic equation $4 x^{2}-8 x-12=0$ ?,B,Math,medium,sat,multiple_choice,$x=-1$ and $x=-3$,$x=-1$ and $x=3$,$x=1$ and $x=-3$,$x=1$ and $x=3$
"$$\sqrt{k+2}-x=0$$In the equation above, $k$ is a constant. If $x=9$, what is the value of $k$ ?",D,Math,medium,sat,multiple_choice,1,7,16,79
Which of the following is equivalent to the sum of the expressions $a^{2}-1$ and $a+1$ ?,A,Math,medium,sat,multiple_choice,$a^{2}+a$,$a^{3}-1$,$2 a^{2}$,$a^{3}$
"In air, the speed of sound $S$, in meters per second, is a linear function of the air temperature $T$, in degrees Celsius, and is given by $S(T)=0.6 T+331.4$. Which of the following statements is the best interpretation of the number 331.4 in this context?",A,Math,medium,sat,multiple_choice,"The speed of sound, in meters per second, at $0^{\circ} \mathrm{C}$","The speed of sound, in meters per second, at $0.6^{\circ} \mathrm{C}$","The increase in the speed of sound, in meters per second, that corresponds to an increase of $1^{\circ} \mathrm{C}$","The increase in the speed of sound, in meters per second, that corresponds to an increase of $0.6^{\circ} \mathrm{C}$"
"$$\begin{aligned}y & =x^{2} \\2 y+6 & =2(x+3)\end{aligned}$$If $(x, y)$ is a solution of the system of equations above and $x>0$, what is the value of $x y$ ?",A,Math,medium,sat,multiple_choice,1,2,3,9
"If $a^{2}+b^{2}=z$ and $a b=y$, which of the following is equivalent to $4 z+8 y$ ?",B,Math,medium,sat,multiple_choice,$(a+2 b)^{2}$,$(2 a+2 b)^{2}$,$(4 a+4 b)^{2}$,$(4 a+8 b)^{2}$
"The volume of right circular cylinder A is 22 cubic centimeters. What is the volume, in cubic centimeters, of a right circular cylinder with twice the radius and half the height of cylinder A?",C,Math,medium,sat,multiple_choice,11,22,44,66
Which of the following is equivalent to $9^{\frac{3}{4}}$ ?,D,Math,medium,sat,multiple_choice,$\sqrt[3]{9}$,$\sqrt[4]{9}$,$\sqrt{3}$,$3 \sqrt{3}$
"At a restaurant, $n$ cups of tea are made by adding $t$ tea bags to hot water. If $t=n+2$, how many additional tea bags are needed to make each additional cup of tea?",B,Math,medium,sat,multiple_choice,None,One,Two,Three
"Alan drives an average of 100 miles each week. His car can travel an average of 25 miles per gallon of gasoline. Alan would like to reduce his weekly expenditure on gasoline by $\$ 5$. Assuming gasoline costs $\$ 4$ per gallon, which equation can Alan use to determine how many fewer average miles, $m$, he should drive each week?",D,Math,medium,sat,multiple_choice,$\frac{25}{4} m=95$,$\frac{25}{4} m=5$,$\frac{4}{25} m=95$,$\frac{4}{25} m=5$
\begin{center}\begin{tabular}{|c|c|}\hline$x$ & $f(x)$ \\\hline1 & 5 \\\hline3 & 13 \\\hline5 & 21 \\\hline\end{tabular}\end{center}Some values of the linear function $f$ are shown in the table above. Which of the following defines $f$ ?,C,Math,medium,sat,multiple_choice,$f(x)=2 x+3$,$f(x)=3 x+2$,$f(x)=4 x+1$,$f(x)=5 x$
"To make a bakery's signature chocolate muffins, a baker needs 2.5 ounces of chocolate for each muffin. How many pounds of chocolate are needed to make 48 signature chocolate muffins?( 1 pound $=16$ ounces)",A,Math,medium,sat,multiple_choice,7.5,10,50.5,120
"If $3(c+d)=5$, what is the value of $c+d ?$",B,Math,medium,sat,multiple_choice,$\frac{3}{5}$,$\frac{5}{3}$,3,5
"The weight of an object on Venus is approximately $\frac{9}{10}$ of its weight on Earth. The weight of an object on Jupiter is approximately $\frac{23}{10}$ of its weight on Earth. If an object weighs 100 pounds on Earth, approximately how many more pounds does it weigh on Jupiter than it weighs on Venus?",C,Math,medium,sat,multiple_choice,90,111,140,230
"An online bookstore sells novels and magazines. Each novel sells for $\$ 4$, and each magazine sells for $\$ 1$. If Sadie purchased a total of 11 novels and magazines that have a combined selling price of $\$ 20$, how many novels did she purchase?",B,Math,medium,sat,multiple_choice,2,3,4,5
"The Downtown Business Association (DBA) in a certain city plans to increase its membership by a total of $n$ businesses per year. There were $b$ businesses in the DBA at the beginning of this year. Which function best models the total number of businesses, $y$, the DBA plans to have as members $x$ years from now?",A,Math,medium,sat,multiple_choice,$y=n x+b$,$y=n x-b$,$y=b(n)^{x}$,$y=n(b)^{x}$
Which of the following is an equivalent form of $(1.5 x-2.4)^{2}-\left(5.2 x^{2}-6.4\right) ?$,C,Math,medium,sat,multiple_choice,$-2.2 x^{2}+1.6$,$-2.2 x^{2}+11.2$,$-2.95 x^{2}-7.2 x+12.16$,$-2.95 x^{2}-7.2 x+0.64$
The density $d$ of an object is found by dividing the mass $m$ of the object by its volume $V$. Which of the following equations gives the mass $m$ in terms of $d$ and $V$ ?,A,Math,medium,sat,multiple_choice,$m=d V$,$m=\frac{d}{V}$,$m=\frac{V}{d}$,$m=V+d$
"$$-2 x+3 y=6$$In the $x y$-plane, the graph of which of the following equations is perpendicular to the graph of the equation above?",A,Math,medium,sat,multiple_choice,$3 x+2 y=6$,$3 x+4 y=6$,$2 x+4 y=6$,$2 x+6 y=3$
"$$\begin{array}{r}\frac{1}{2} y=4 \\x-\frac{1}{2} y=2\end{array}$$The system of equations above has solution $(x, y)$. What is the value of $x$ ?",D,Math,medium,sat,multiple_choice,3,$\frac{7}{2}$,4,6
"$$\begin{gathered}y \leq 3 x+1 \\x-y>1\end{gathered}$$Which of the following ordered pairs $(x, y)$ satisfies the system of inequalities above?",D,Math,medium,sat,multiple_choice,"$(-2,-1)$","$(-1,3)$","$(1,5)$","$(2,-1)$"
"\begin{center}\begin{tabular}{|l|c|c|c|}\hline\multirow{2}{*}{$\begin{array}{c}\text { Type of } \\\text { surgeon }\end{array}$} & \multicolumn{2}{|c|}{$\begin{array}{c}\text { Major professional } \\\text { activity }\end{array}$} & \multirow{2}{*}{Total} \\\cline { 2 - 3 }& Teaching & Research \\\hlineGeneral & 258 & 156 & 414 \\\hlineOrthopedic & 119 & 74 & 193 \\\hlineTotal & 377 & 230 & 607 \\\hline\end{tabular}\end{center}In a survey, 607 general surgeons and orthopedic surgeons indicated their major professional activity. The results are summarized in the table above. If one of the surgeons is selected at random, which of the following is closest to the probability that the selected surgeon is an orthopedic surgeon whose indicated professional activity is research?",A,Math,medium,sat,multiple_choice,0.122,0.196,0.318,0.379
"A polling agency recently surveyed 1,000 adults who were selected at random from a large city and asked each of the adults, ""Are you satisfied with the quality of air in the city?"" Of those surveyed, 78 percent responded that they were satisfied with the quality of air in the city. Based on the results of the survey, which of the following statements must be true?I. Of all adults in the city, 78 percent are satisfied with the quality of air in the city.II. If another 1,000 adults selected at random from the city were surveyed, 78 percent of them would report they are satisfied with the quality of air in the city.III. If 1,000 adults selected at random from a different city were surveyed, 78 percent of them would report they are satisfied with the quality of air in the city.",A,Math,medium,sat,multiple_choice,None,II only,I and II only,I and III only
"According to the information in the table, what is the approximate age of an American elm tree with a diameter of 12 inches?",D,Math,medium,sat,multiple_choice,24 years,36 years,40 years,48 years
"If a white birch tree and a pin oak tree each now have a diameter of 1 foot, which of the following will be closest to the difference, in inches, of their diameters 10 years from now? $(1$ foot $=12$ inches $)$",C,Math,medium,sat,multiple_choice,1.0,1.2,1.3,1.4
"$$\frac{a-b}{a}=c$$In the equation above, if $a$ is negative and $b$ is positive, which of the following must be true?",A,Math,medium,sat,multiple_choice,$c>1$,$c=1$,$c=-1$,$c<-1$
"In State X, Mr. Camp's eighth-grade class consisting of 26 students was surveyed and 34.6 percent of the students reported that they had at least two siblings. The average eighth-grade class size in the state is 26. If the students in Mr. Camp's class are representative of students in the state's eighth-grade classes and there are 1,800 eighth-grade classes in the state, which of the following best estimates the number of eighth-grade students in the state who have fewer than two siblings?",C,Math,medium,sat,multiple_choice,"16,200","23,400","30,600","46,800 Questions 23 and 24 refer to the following information."
"\begin{center}\begin{tabular}{|l|c|c|}\hline\multicolumn{3}{|c|}{Townsend Realty Group Investments} \\\hlineProperty address & $\begin{array}{c}\text { Purchase price } \\ \text { (dollars) }\end{array}$ & $\begin{array}{c}\text { Monthly rental } \\ \text { price } \\ \text { (dollars) }\end{array}$ \\\hlineClearwater Lane & 128,000 & 950 \\\hlineDriftwood Drive & 176,000 & 1,310 \\\hlineEdgemont Street & 70,000 & 515 \\\hlineGlenview Street & 140,000 & 1,040 \\\hlineHamilton Circle & 450,000 & 3,365 \\\hline\end{tabular}\end{center}The Townsend Realty Group invested in the five different properties listed in the table above. The table shows the amount, in dollars, the company paid for each property and the corresponding monthly rental price, in dollars, the company charges for the property at each of the five locations. 23The relationship between the monthly rental price $r$, in dollars, and the property's purchase price $p$, in thousands of dollars, can be represented by a linear function. Which of the following functions represents the relationship?",D,Math,medium,sat,multiple_choice,$r(p)=2.5 p-870$,$r(p)=5 p+165$,$r(p)=6.5 p+440$,$r(p)=7.5 p-10$
"Townsend Realty purchased the Glenview Street property and received a $40 \%$ discount off the original price along with an additional $20 \%$ off the discounted price for purchasing the property in cash. Which of the following best approximates the original price, in dollars, of the Glenview Street property?",B,Math,medium,sat,multiple_choice,"$\$ 350,000$","$\$ 291,700$","$\$ 233,300$","$\$ 175,000$"
"A psychologist set up an experiment to study the tendency of a person to select the first item when presented with a series of items. In the experiment, 300 people were presented with a set of five pictures arranged in random order. Each person was asked to choose the most appealing picture. Of the first 150 participants, 36 chose the first picture in the set. Among the remaining 150 participants, $p$ people chose the first picture in the set. If more than $20 \%$ of all participants chose the first picture in the set, which of the following inequalities best describes the possible values of $p$ ?",D,Math,medium,sat,multiple_choice,"$p>0.20(300-36)$, where $p \leq 150$","$p>0.20(300+36)$, where $p \leq 150$","$p-36>0.20(300)$, where $p \leq 150$","$p+36>0.20(300)$, where $p \leq 150$"
"The surface area of a cube is $6\left(\frac{a}{4}\right)^{2}$, where $a$ is a positive constant. Which of the following gives the perimeter of one face of the cube?",B,Math,medium,sat,multiple_choice,$\frac{a}{4}$,$a$,$4 a$,$6 a$
"The mean score of 8 players in a basketball game was 14.5 points. If the highest individual score is removed, the mean score of the remaining 7 players becomes 12 points. What was the highest score?",C,Math,medium,sat,multiple_choice,20,24,32,36
$$x^{2}+20 x+y^{2}+16 y=-20$$The equation above defines a circle in the $x y$-plane. What are the coordinates of the center of the circle?,B,Math,medium,sat,multiple_choice,"$(-20,-16)$","$(-10,-8)$","$(10,8)$","$(20,16)$"
"$$y=x^{2}-a$$In the equation above, $a$ is a positive constant and the graph of the equation in the $x y$-plane is a parabola. Which of the following is an equivalent form of the equation?",B,Math,medium,sat,multiple_choice,$y=(x+a)(x-a)$,$y=(x+\sqrt{a})(x-\sqrt{a})$,$y=\left(x+\frac{a}{2}\right)\left(x-\frac{a}{2}\right)$,$y=(x+a)^{2}$ DIRECTIONS
"$$x+y=75$$The equation above relates the number of minutes, $x$, Maria spends running each day and the number of minutes, $y$, she spends biking each day. In the equation, what does the number 75 represent?",C,Math,medium,sat,multiple_choice,The number of minutes spent running each day,The number of minutes spent biking each day,The total number of minutes spent running and biking each day,The number of minutes spent biking for each minute spent running
Which of the following is equivalent to $3(x+5)-6$ ?,C,Math,medium,sat,multiple_choice,$3 x-3$,$3 x-1$,$3 x+9$,$15 x-6$
"$$\begin{aligned}& x=y-3 \\& \frac{x}{2}+2 y=6\end{aligned}$$Which ordered pair $(x, y)$ satisfies the system of equations shown above?",B,Math,medium,sat,multiple_choice,"$(-3,0)$","$(0,3)$","$(6,-3)$","$(36,-6)$"
"Which of the following complex numbers is equal to $(5+12 i)-\left(9 i^{2}-6 i\right)$, for $i=\sqrt{-1}$ ?",D,Math,medium,sat,multiple_choice,$-14-18 i$,$-4-6 i$,$4+6 i$,$14+18 i$
"If $f(x)=\frac{x^{2}-6 x+3}{x-1}$, what is $f(-1)$ ?",A,Math,medium,sat,multiple_choice,-5,-2,2,5
"A company that makes wildlife videos purchases camera equipment for $\$ 32,400$. The equipment depreciates in value at a constant rate for 12 years, after which it is considered to have no monetary value. How much is the camera equipment worth 4 years after it is purchased?",C,Math,medium,sat,multiple_choice,"$\$ 10,800$","$\$ 16,200$","$\$ 21,600$","$\$ 29,700$"
$$x^{2}+6 x+4$$Which of the following is equivalent to the expression above?,B,Math,medium,sat,multiple_choice,$(x+3)^{2}+5$,$(x+3)^{2}-5$,$(x-3)^{2}+5$,$(x-3)^{2}-5$
"Ken is working this summer as part of a crew on a farm. He earned $\$ 8$ per hour for the first 10 hours he worked this week. Because of his performance, his crew leader raised his salary to $\$ 10$ per hour for the rest of the week. Ken saves $90 \%$ of his earnings from each week. What is the least number of hours he must work the rest of the week to save at least $\$ 270$ for the week?",C,Math,medium,sat,multiple_choice,38,33,22,16
